#https://www.thorlabs.com/newgrouppage9.cfm?objectgroup_id=15605
#note that this does not include reflectance of surface
#Wavelength (nm)	emittance
1524	0.0027816
1526	0.0027873
1528	0.0028574
1530	0.0028386
1532	0.0028698
1534	0.0028932
1536	0.0026661
1538	0.0026373
1540	0.0027778
1542	0.0028559
1544	0.0028637
1546	0.0028482
1548	0.0028373
1550	0.0029033
1552	0.0030551
1554	0.0031758
1556	0.0030758
1558	0.003
1560	0.0029067
1562	0.0027851
1564	0.0026847
1566	0.0026951
1568	0.0027498
1570	0.0029315
1572	0.0031035
1574	0.0031415
1576	0.0029059
1578	0.0029003
1580	0.0030365
1582	0.0029383
1584	0.0029817
1586	0.0029006
1588	0.0030134
1590	0.0029788
1592	0.0030747
1594	0.0031719
1596	0.0027548
1598	0.0028309
1600	0.0031055
1602	0.0030573
1604	0.0031142
1606	0.0029972
1608	0.0029259
1610	0.0029819
1612	0.0030691
1614	0.0030656
1616	0.0031104
1618	0.0031407
1620	0.0030608
1622	0.0030747
1624	0.0030952
1626	0.0030798
1628	0.0029349
1630	0.0030495
1632	0.0028398
1634	0.0027705
1636	0.0030075
1638	0.0031118
1640	0.0030421
1642	0.0031526
1644	0.0032412
1646	0.0031857
1648	0.0032464
1650	0.0031582
1652	0.0031506
1654	0.0030421
1656	0.0030053
1658	0.0031763
1660	0.0030996
1662	0.003137
1664	0.00306
1666	0.0029396
1668	0.0030461
1670	0.0032644
1672	0.0033972
1674	0.0033149
1676	0.0032375
1678	0.0034274
1680	0.003289
1682	0.0034035
1684	0.003237
1686	0.0032798
1688	0.0033605
1690	0.0034995
1692	0.0034707
1694	0.0034298
1696	0.0032968
1698	0.0033272
1700	0.0033041
1702	0.0034764
1704	0.0033183
1706	0.003391
1708	0.0035221
1710	0.0034394
1712	0.0035102
1714	0.0035542
1716	0.0036168
1718	0.0037681
1720	0.0036909
1722	0.0032914
1724	0.0033613
1726	0.0034743
1728	0.0036078
1730	0.0034785
1732	0.0034728
1734	0.0035678
1736	0.0035466
1738	0.0035414
1740	0.0037696
1742	0.0038771
1744	0.003618
1746	0.0036839
1748	0.003668
1750	0.0035889
1752	0.0037032
1754	0.0036714
1756	0.0037682
1758	0.0038109
1760	0.003863
1762	0.0038432
1764	0.0036946
1766	0.0034773
1768	0.0036654
1770	0.0036317
