#Wavelength[nm]	AOI 10 deg
1830	0.12224
1829	0.14352
1828	0.16808
1827	0.19631
1826	0.22867
1825	0.26572
1824	0.30815
1823	0.35679
1822	0.41274
1821	0.47734
1820	0.55236
1819	0.64015
1818	0.74356
1817	0.86641
1816	1.0137
1815	1.19199
1814	1.41001
1813	1.67938
1812	2.01563
1811	2.43959
1810	2.97911
1809	3.67042
1808	4.5621
1807	5.71512
1806	7.20291
1805	9.10669
1804	11.50418
1803	14.45109
1802	17.95944
1801	21.98246
1800	26.41684
1799	31.13041
1798	35.98349
1797	40.86761
1796	45.70704
1795	50.4491
1794	55.05208
1793	59.47847
1792	63.69417
1791	67.67354
1790	71.40371
1789	74.88294
1788	78.11497
1787	81.10194
1786	83.83846
1785	86.31042
1784	88.50009
1783	90.39825
1782	92.01453
1781	93.37903
1780	94.5341
1779	95.52157
1778	96.37196
1777	97.10275
1776	97.72121
1775	98.23109
1774	98.63786
1773	98.95116
1772	99.18416
1771	99.35173
1770	99.46827
1769	99.54616
1768	99.59517
1767	99.6227
1766	99.63432
1765	99.63452
1764	99.627
1763	99.61482
1762	99.60087
1761	99.58737
1760	99.57607
1759	99.56809
1758	99.56414
1757	99.56409
1756	99.56745
1755	99.57336
1754	99.58073
1753	99.58835
1752	99.59514
1751	99.60019
1750	99.60285
1749	99.60286
1748	99.60029
1747	99.59551
1746	99.58916
1745	99.58202
1744	99.575
1743	99.56895
1742	99.56459
1741	99.56244
1740	99.56287
1739	99.56584
1738	99.57112
1737	99.57817
1736	99.5864
1735	99.59489
1734	99.60286
1733	99.60936
1732	99.61382
1731	99.61555
1730	99.61435
1729	99.61009
1728	99.60302
1727	99.59364
1726	99.58245
1725	99.57036
1724	99.55822
1723	99.54681
1722	99.53697
1721	99.52928
1720	99.52425
1719	99.52203
1718	99.52263
1717	99.52574
1716	99.53094
1715	99.53751
1714	99.54464
1713	99.55151
1712	99.55732
1711	99.56138
1710	99.56304
1709	99.56199
1708	99.5581
1707	99.55148
1706	99.5425
1705	99.53168
1704	99.51971
1703	99.50748
1702	99.4957
1701	99.48518
1700	99.47664
1699	99.47057
1698	99.46738
1697	99.46716
1696	99.46979
1695	99.47498
